size_bytes,enc_mean_us,enc_std_us,enc_median_us,enc_cv,dec_mean_us,dec_std_us,dec_median_us,dec_cv
8,683.55,2906.64,26.95,4.252,459.54,86.03,438.8,0.187
64,38.52,21.66,31.25,0.562,466.26,69.39,446.05,0.149
512,109.11,40.88,91.2,0.375,523.24,21.61,512.15,0.041
4096,580.24,56.65,562.7,0.098,1000.69,75.48,973.0,0.075
32768,4258.28,117.57,4222.25,0.028,4779.26,208.81,4750.55,0.044
262144,36241.0,1047.58,35867.1,0.029,36718.19,1634.61,36229.2,0.045
2097152,291951.22,6701.83,291387.45,0.023,290403.23,2158.54,290459.35,0.007
